photo,rotation,longitude,latitude,timestamp,cycad_outside_plot,CAS_present
https://github.com/aubreymoore/TinianTrip2022/raw/main/images/20221020_104906.jpg,90,145.63735,15.050727,2022/10/20 10:49:06,1,0
https://github.com/aubreymoore/TinianTrip2022/raw/main/images/20221020_105103.jpg,90,145.63735,15.050727,2022/10/20 10:51:03,1,0
https://github.com/aubreymoore/TinianTrip2022/raw/main/images/20221020_105123.jpg,90,145.637374,15.050629,2022/10/20 10:51:24,1,0
https://github.com/aubreymoore/TinianTrip2022/raw/main/images/20221020_105230.jpg,90,145.637735,15.050574,2022/10/20 10:52:30,1,0
https://github.com/aubreymoore/TinianTrip2022/raw/main/images/20221020_105239.jpg,90,145.637735,15.050574,2022/10/20 10:52:38,1,0
https://github.com/aubreymoore/TinianTrip2022/raw/main/images/20221020_105640.jpg,90,145.638889,15.050824,2022/10/20 10:56:40,1,0
https://github.com/aubreymoore/TinianTrip2022/raw/main/images/20221020_112458.jpg,90,145.634084,15.082151,2022/10/20 11:24:58,1,0
https://github.com/aubreymoore/TinianTrip2022/raw/main/images/20221020_112511.jpg,0,145.634084,15.082151,2022/10/20 11:25:11,1,0
https://github.com/aubreymoore/TinianTrip2022/raw/main/images/20221020_112714.jpg,90,145.634084,15.082151,2022/10/20 11:27:14,1,0
https://github.com/aubreymoore/TinianTrip2022/raw/main/images/20221020_112736.jpg,90,145.63417,15.081783,2022/10/20 11:27:36,1,0
